dataset,total_images,found,find_rates,acc,miou,dice,most_repetitive_class,most_repetitive_class_count
animal,100,50,0.5,0.5,0.375,0.458,cow,33
ants1,325,0,0.0,0.0,0.0,0.0,,0
birds1,339,19,0.056,0.056,0.041,0.048,bird,17
birds2,80,54,0.675,0.673,0.518,0.605,bird,54
butterfly,151,110,0.728,0.725,0.614,0.692,bird,40
crabs1,160,36,0.225,0.225,0.166,0.198,person,23
fernando,292,232,0.795,0.786,0.66,0.731,cat,199
fish1,366,7,0.019,0.019,0.015,0.017,bird,3
fish2,310,53,0.171,0.17,0.129,0.152,carrot,38
flamingo1,1377,0,0.0,0.0,0.0,0.0,,0
kangaroo,87,39,0.448,0.442,0.364,0.406,bird,17
lamb,100,65,0.65,0.647,0.504,0.571,sheep,60
monkey,101,94,0.931,0.928,0.774,0.865,person,33
nature,999,913,0.914,0.909,0.784,0.866,bird,909
rabbit,158,0,0.0,0.0,0.0,0.0,,0
rabbit2,100,89,0.89,0.887,0.703,0.792,dog,45
snake,101,5,0.05,0.049,0.037,0.043,bench,3
tiger,365,22,0.06,0.06,0.048,0.055,teddy bear,15
