dataset & total_images & found & find_rates & acc & miou & dice & most_repetitive_class & most_repetitive_class_count
agility & 100 & 2 & 0.02 & 0.02 & 0.015 & 0.018 & traffic light & 1\\
basketball & 725 & 581 & 0.801 & 0.797 & 0.61 & 0.735 & person & 557\\
bolt1 & 350 & 79 & 0.226 & 0.225 & 0.163 & 0.202 & person & 68\\
diver & 241 & 70 & 0.29 & 0.289 & 0.232 & 0.264 & person & 52\\
girl & 1500 & 1377 & 0.918 & 0.913 & 0.716 & 0.832 & person & 1115\\
graduate & 844 & 504 & 0.597 & 0.59 & 0.476 & 0.552 & person & 496\\
gymnastics1 & 567 & 209 & 0.369 & 0.362 & 0.285 & 0.347 & person & 207\\
gymnastics2 & 240 & 197 & 0.821 & 0.818 & 0.633 & 0.74 & person & 195\\
gymnastics3 & 118 & 26 & 0.22 & 0.219 & 0.16 & 0.186 & person & 21\\
handball1 & 377 & 0 & 0.0 & 0.0 & 0.0 & 0.0 &  & 0\\
handball2 & 402 & 0 & 0.0 & 0.0 & 0.0 & 0.0 &  & 0\\
iceskater1 & 661 & 563 & 0.852 & 0.836 & 0.643 & 0.774 & person & 562\\
iceskater2 & 707 & 327 & 0.463 & 0.457 & 0.348 & 0.411 & person & 312\\
marathon & 101 & 0 & 0.0 & 0.0 & 0.0 & 0.0 &  & 0\\
matrix & 100 & 3 & 0.03 & 0.03 & 0.022 & 0.026 & person & 3\\
polo & 111 & 31 & 0.279 & 0.279 & 0.208 & 0.249 & person & 25\\
rowing & 101 & 0 & 0.0 & 0.0 & 0.0 & 0.0 &  & 0\\
shaking & 365 & 1 & 0.003 & 0.003 & 0.002 & 0.003 & baseball glove & 1\\
singer2 & 366 & 244 & 0.667 & 0.656 & 0.523 & 0.597 & person & 244\\
singer3 & 131 & 0 & 0.0 & 0.0 & 0.0 & 0.0 &  & 0\\
soccer1 & 392 & 5 & 0.013 & 0.013 & 0.01 & 0.011 & person & 4\\
soccer2 & 129 & 10 & 0.078 & 0.077 & 0.056 & 0.068 & person & 10\\
soldier & 138 & 19 & 0.138 & 0.137 & 0.11 & 0.124 & bird & 17\\
surfing & 120 & 20 & 0.167 & 0.166 & 0.121 & 0.152 & person & 20\\
