dataset,total_images,found,find_rates,acc,miou,dice,most_repetitive_class,most_repetitive_class_count
agility,100,1,0.010,0.010,0.007,0.008,dog,1
animal,100,53,0.530,0.530,0.392,0.483,cow,40
ants1,325,2,0.006,0.006,0.003,0.005,bird,2
bag,311,85,0.273,0.273,0.228,0.256,traffic light,30
ball2,41,5,0.122,0.122,0.071,0.098,sports ball,5
ball3,171,51,0.298,0.298,0.192,0.223,sports ball,39
basketball,725,697,0.961,0.956,0.708,0.862,person,697
birds1,339,286,0.844,0.843,0.475,0.642,bird,283
birds2,80,72,0.900,0.898,0.622,0.747,bird,72
bolt1,350,345,0.986,0.982,0.654,0.835,person,345
book,175,43,0.246,0.245,0.191,0.223,book,20
bubble,243,118,0.486,0.484,0.426,0.457,frisbee,79
butterfly,151,39,0.258,0.257,0.215,0.243,bird,39
car1,742,700,0.943,0.936,0.760,0.852,car,625
conduction1,345,0,0.000,0.000,0.000,0.000,,0
crabs1,160,22,0.138,0.137,0.092,0.113,horse,18
dinosaur,326,59,0.181,0.176,0.120,0.144,banana,34
diver,241,152,0.631,0.627,0.401,0.499,person,152
drone1,355,7,0.020,0.020,0.010,0.017,airplane,7
drone_across,147,12,0.082,0.082,0.046,0.062,airplane,7
fernando,292,258,0.884,0.873,0.698,0.785,cat,218
fish1,366,7,0.019,0.019,0.012,0.015,bird,7
fish2,310,14,0.045,0.045,0.025,0.034,bird,14
flamingo1,1377,2,0.001,0.001,0.000,0.001,bird,2
frisbee,248,213,0.859,0.858,0.517,0.660,frisbee,181
girl,1500,1484,0.989,0.983,0.761,0.889,person,1484
graduate,844,772,0.915,0.907,0.665,0.814,person,772
gymnastics1,567,541,0.954,0.940,0.646,0.850,person,541
gymnastics2,240,240,1.000,0.996,0.741,0.875,person,240
gymnastics3,118,76,0.644,0.639,0.390,0.478,person,76
hand,267,0,0.000,0.000,0.000,0.000,,0
hand2,145,1,0.007,0.007,0.002,0.002,remote,1
handball1,377,207,0.549,0.547,0.231,0.388,person,207
handball2,402,77,0.192,0.191,0.088,0.132,person,77
helicopter,708,551,0.778,0.765,0.456,0.635,kite,354
iceskater1,661,657,0.994,0.975,0.739,0.896,person,657
iceskater2,707,600,0.849,0.833,0.568,0.700,person,600
kangaroo,87,37,0.425,0.416,0.323,0.368,bird,17
lamb,100,96,0.960,0.955,0.700,0.808,sheep,90
leaves,63,0,0.000,0.000,0.000,0.000,,0
marathon,101,1,0.010,0.010,0.005,0.007,person,1
matrix,100,15,0.150,0.149,0.085,0.109,person,15
monkey,101,91,0.901,0.898,0.743,0.833,cow,50
motocross1,164,2,0.012,0.012,0.009,0.011,baseball glove,2
nature,999,947,0.948,0.943,0.806,0.893,bird,947
polo,111,109,0.982,0.980,0.651,0.810,person,109
rabbit,158,2,0.013,0.013,0.008,0.011,dog,1
rabbit2,100,74,0.740,0.738,0.574,0.649,dog,54
rowing,101,0,0.000,0.000,0.000,0.000,,0
shaking,365,6,0.016,0.016,0.006,0.010,person,6
singer2,366,366,1.000,0.983,0.723,0.847,person,366
singer3,131,51,0.389,0.296,0.189,0.252,person,51
snake,101,2,0.020,0.020,0.013,0.016,bird,2
soccer1,392,14,0.036,0.034,0.020,0.025,person,14
soccer2,129,100,0.775,0.775,0.481,0.633,person,100
soldier,138,2,0.014,0.014,0.011,0.013,person,2
surfing,120,118,0.983,0.982,0.642,0.871,person,118
tennis,213,28,0.131,0.131,0.042,0.066,tennis racket,28
tiger,365,8,0.022,0.022,0.014,0.018,bird,8
wheel,101,4,0.040,0.039,0.015,0.024,skateboard,4
wiper,341,272,0.798,0.795,0.565,0.674,car,217
zebrafish1,400,0,0.000,0.000,0.000,0.000,,0
